"No.","Protocol","Length","Time","Source","Info","Destination"
"106","UDP","1042","5.520684480","127.0.0.1","42003  >  59469 Len=1000","127.0.0.1"
"107","UDP","1042","5.520730718","127.0.0.1","59212  >  44003 Len=1000","127.0.0.1"
"108","UDP","1042","5.520752534","127.0.0.1","44003  >  59212 Len=1000","127.0.0.1"
"109","UDP","82","5.520797512","127.0.0.1","60817  >  43003 Len=40","127.0.0.1"
"110","UDP","54","5.520818898","127.0.0.1","43003  >  60817 Len=12","127.0.0.1"
"111","UDP","1042","5.520863907","127.0.0.1","59623  >  42003 Len=1000","127.0.0.1"
"112","UDP","1042","5.520891451","127.0.0.1","42003  >  59623 Len=1000","127.0.0.1"
"113","UDP","1042","5.520937569","127.0.0.1","48521  >  44003 Len=1000","127.0.0.1"
"114","UDP","1042","5.520964518","127.0.0.1","44003  >  48521 Len=1000","127.0.0.1"
"115","UDP","82","5.521007716","127.0.0.1","51749  >  43003 Len=40","127.0.0.1"
"116","UDP","54","5.521026400","127.0.0.1","43003  >  51749 Len=12","127.0.0.1"
"117","UDP","1042","5.521071523","127.0.0.1","53060  >  42003 Len=1000","127.0.0.1"
"118","UDP","1042","5.521090901","127.0.0.1","42003  >  53060 Len=1000","127.0.0.1"
"119","UDP","1042","5.521137395","127.0.0.1","34203  >  44003 Len=1000","127.0.0.1"
"120","UDP","1042","5.521158071","127.0.0.1","44003  >  34203 Len=1000","127.0.0.1"
"121","UDP","82","6.022633439","127.0.0.1","39450  >  43003 Len=40","127.0.0.1"
"122","UDP","54","6.022689790","127.0.0.1","43003  >  39450 Len=12","127.0.0.1"
"123","UDP","1042","6.022757072","127.0.0.1","45130  >  42003 Len=1000","127.0.0.1"
"124","UDP","1042","6.022804606","127.0.0.1","42003  >  45130 Len=1000","127.0.0.1"
"125","UDP","1042","6.022859366","127.0.0.1","40405  >  44003 Len=1000","127.0.0.1"
"126","UDP","1042","6.022902820","127.0.0.1","44003  >  40405 Len=1000","127.0.0.1"
"127","UDP","82","6.022955909","127.0.0.1","39916  >  43003 Len=40","127.0.0.1"
"128","UDP","54","6.022980686","127.0.0.1","43003  >  39916 Len=12","127.0.0.1"
"129","UDP","1042","6.023026392","127.0.0.1","57594  >  42003 Len=1000","127.0.0.1"
"130","UDP","1042","6.023047608","127.0.0.1","42003  >  57594 Len=1000","127.0.0.1"
"131","UDP","1042","6.023092777","127.0.0.1","59067  >  44003 Len=1000","127.0.0.1"
"132","UDP","1042","6.023114301","127.0.0.1","44003  >  59067 Len=1000","127.0.0.1"
"133","UDP","82","6.023199315","127.0.0.1","35918  >  43003 Len=40","127.0.0.1"
"134","UDP","54","6.023223019","127.0.0.1","43003  >  35918 Len=12","127.0.0.1"
"135","UDP","1042","6.023273648","127.0.0.1","45225  >  42003 Len=1000","127.0.0.1"
"136","UDP","1042","6.023308006","127.0.0.1","42003  >  45225 Len=1000","127.0.0.1"
"137","UDP","1042","6.023355667","127.0.0.1","54513  >  44003 Len=1000","127.0.0.1"
"138","UDP","1042","6.023386588","127.0.0.1","44003  >  54513 Len=1000","127.0.0.1"
"139","UDP","82","6.023433775","127.0.0.1","40134  >  43003 Len=40","127.0.0.1"
"140","UDP","54","6.023453956","127.0.0.1","43003  >  40134 Len=12","127.0.0.1"
"141","UDP","1042","6.023500444","127.0.0.1","36206  >  42003 Len=1000","127.0.0.1"
"142","UDP","1042","6.023521814","127.0.0.1","42003  >  36206 Len=1000","127.0.0.1"
"143","UDP","1042","6.023567440","127.0.0.1","44303  >  44003 Len=1000","127.0.0.1"
"144","UDP","1042","6.023587023","127.0.0.1","44003  >  44303 Len=1000","127.0.0.1"
"145","UDP","82","7.528245206","127.0.0.1","55253  >  43003 Len=40","127.0.0.1"
"146","UDP","54","7.528291943","127.0.0.1","43003  >  55253 Len=12","127.0.0.1"
"147","UDP","1042","7.528355466","127.0.0.1","60339  >  42003 Len=1000","127.0.0.1"
"148","UDP","1042","7.528408348","127.0.0.1","42003  >  60339 Len=1000","127.0.0.1"
"149","UDP","1042","7.528471189","127.0.0.1","33247  >  44003 Len=1000","127.0.0.1"
"150","UDP","1042","7.528515122","127.0.0.1","44003  >  33247 Len=1000","127.0.0.1"
"151","UDP","82","7.528572016","127.0.0.1","57959  >  43003 Len=40","127.0.0.1"
"152","UDP","54","7.528596257","127.0.0.1","43003  >  57959 Len=12","127.0.0.1"
"153","UDP","1042","7.528645600","127.0.0.1","46792  >  42003 Len=1000","127.0.0.1"
"154","UDP","1042","7.528668327","127.0.0.1","42003  >  46792 Len=1000","127.0.0.1"
"155","UDP","1042","7.528717448","127.0.0.1","52411  >  44003 Len=1000","127.0.0.1"
"156","UDP","1042","7.528740047","127.0.0.1","44003  >  52411 Len=1000","127.0.0.1"
"157","UDP","82","7.528790985","127.0.0.1","53556  >  43003 Len=40","127.0.0.1"
"158","UDP","54","7.528813686","127.0.0.1","43003  >  53556 Len=12","127.0.0.1"
"159","UDP","1042","7.528860972","127.0.0.1","57465  >  42003 Len=1000","127.0.0.1"
"160","UDP","1042","7.528891051","127.0.0.1","42003  >  57465 Len=1000","127.0.0.1"
"161","UDP","1042","7.528941739","127.0.0.1","43189  >  44003 Len=1000","127.0.0.1"
"162","UDP","1042","7.528971562","127.0.0.1","44003  >  43189 Len=1000","127.0.0.1"
"163","UDP","82","8.030448471","127.0.0.1","45133  >  43003 Len=40","127.0.0.1"
"164","UDP","54","8.030465675","127.0.0.1","43003  >  45133 Len=12","127.0.0.1"
"165","UDP","1042","8.030484777","127.0.0.1","45128  >  42003 Len=1000","127.0.0.1"
"166","UDP","1042","8.030502012","127.0.0.1","42003  >  45128 Len=1000","127.0.0.1"
"167","UDP","1042","8.030519097","127.0.0.1","53175  >  44003 Len=1000","127.0.0.1"
"168","UDP","1042","8.030537330","127.0.0.1","44003  >  53175 Len=1000","127.0.0.1"
"169","UDP","82","8.030555186","127.0.0.1","56693  >  43003 Len=40","127.0.0.1"
"170","UDP","54","8.030562148","127.0.0.1","43003  >  56693 Len=12","127.0.0.1"
"171","UDP","1042","8.030577152","127.0.0.1","47139  >  42003 Len=1000","127.0.0.1"
"172","UDP","1042","8.030584070","127.0.0.1","42003  >  47139 Len=1000","127.0.0.1"
"173","UDP","1042","8.030597817","127.0.0.1","52478  >  44003 Len=1000","127.0.0.1"
"174","UDP","1042","8.030609541","127.0.0.1","44003  >  52478 Len=1000","127.0.0.1"
"175","UDP","82","8.030625230","127.0.0.1","36898  >  43003 Len=40","127.0.0.1"
"176","UDP","54","8.030631758","127.0.0.1","43003  >  36898 Len=12","127.0.0.1"
"177","UDP","1042","8.030646301","127.0.0.1","59911  >  42003 Len=1000","127.0.0.1"
"178","UDP","1042","8.030652483","127.0.0.1","42003  >  59911 Len=1000","127.0.0.1"
"179","UDP","1042","8.030666154","127.0.0.1","42807  >  44003 Len=1000","127.0.0.1"
"180","UDP","1042","8.030675480","127.0.0.1","44003  >  42807 Len=1000","127.0.0.1"
"181","UDP","82","8.030690065","127.0.0.1","37904  >  43003 Len=40","127.0.0.1"
"182","UDP","54","8.030696558","127.0.0.1","43003  >  37904 Len=12","127.0.0.1"
"183","UDP","1042","8.030711238","127.0.0.1","35365  >  42003 Len=1000","127.0.0.1"
"184","UDP","1042","8.030720067","127.0.0.1","42003  >  35365 Len=1000","127.0.0.1"
"185","UDP","1042","8.030734148","127.0.0.1","47308  >  44003 Len=1000","127.0.0.1"
"186","UDP","1042","8.030746025","127.0.0.1","44003  >  47308 Len=1000","127.0.0.1"
"187","UDP","82","8.532064326","127.0.0.1","47328  >  43003 Len=40","127.0.0.1"
"188","UDP","54","8.532110048","127.0.0.1","43003  >  47328 Len=12","127.0.0.1"
"189","UDP","1042","8.532171284","127.0.0.1","51970  >  42003 Len=1000","127.0.0.1"
"190","UDP","1042","8.532234120","127.0.0.1","42003  >  51970 Len=1000","127.0.0.1"
"191","UDP","1042","8.532292653","127.0.0.1","35371  >  44003 Len=1000","127.0.0.1"
"192","UDP","1042","8.532342945","127.0.0.1","44003  >  35371 Len=1000","127.0.0.1"
"193","UDP","82","8.532414395","127.0.0.1","50984  >  43003 Len=40","127.0.0.1"
"194","UDP","54","8.532439249","127.0.0.1","43003  >  50984 Len=12","127.0.0.1"
"195","UDP","1042","8.532488603","127.0.0.1","53555  >  42003 Len=1000","127.0.0.1"
"196","UDP","1042","8.532511484","127.0.0.1","42003  >  53555 Len=1000","127.0.0.1"
"197","UDP","1042","8.532560133","127.0.0.1","54100  >  44003 Len=1000","127.0.0.1"
"198","UDP","1042","8.532585725","127.0.0.1","44003  >  54100 Len=1000","127.0.0.1"
"199","UDP","82","8.532640530","127.0.0.1","38536  >  43003 Len=40","127.0.0.1"
"200","UDP","54","8.532662964","127.0.0.1","43003  >  38536 Len=12","127.0.0.1"
"201","UDP","1042","8.532743862","127.0.0.1","35207  >  42003 Len=1000","127.0.0.1"
"202","UDP","1042","8.532764814","127.0.0.1","42003  >  35207 Len=1000","127.0.0.1"
"203","UDP","1042","8.532813662","127.0.0.1","36266  >  44003 Len=1000","127.0.0.1"
"204","UDP","1042","8.532836738","127.0.0.1","44003  >  36266 Len=1000","127.0.0.1"
"205","UDP","82","8.532885186","127.0.0.1","38390  >  43003 Len=40","127.0.0.1"
"206","UDP","54","8.532909070","127.0.0.1","43003  >  38390 Len=12","127.0.0.1"
"207","UDP","1042","8.532957410","127.0.0.1","51168  >  42003 Len=1000","127.0.0.1"
